#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Bordetella pertussis","J473",19440,SAMN07137593 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002240495.1 ,4.11458,67.7,chromosome:NZ_CP021403.1/CP021403.1,-,1,3977,3519,2017/08/03,2017/08/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/495/GCF_002240495.1_ASM224049v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/240/495/GCA_002240495.1_ASM224049v1
"Escherichia coli","Ecol_AZ159",19668,SAMN05511159 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012145.1 ,5.10193,50.6811,chromosome:NZ_CP019008.1/CP019008.1; plasmid pECAZ159_1:NZ_CP019007.1/CP019007.1; plasmid pECAZ159_2:NZ_CP019006.1/CP019006.1,-,3,5251,4912,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/145/GCF_002012145.1_ASM201214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/145/GCA_002012145.1_ASM201214v1
"Salmonella enterica subsp. enterica","CFSAN033541",19669,SAMN03702837 ,PRJNA242847,"Proteobacteria","Gammaproteobacteria",GCA_002128385.1 ,4.73844,52.1975,chromosome:NZ_CP020823.1/CP020823.1; plasmid pCFSAN033541:NZ_CP020824.1/CP020824.1,-,2,4843,4566,2017/05/11,2017/05/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/128/385/GCF_002128385.1_ASM212838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/128/385/GCA_002128385.1_ASM212838v1
"Salmonella enterica subsp. enterica","16A242",19669,SAMN06646159 ,PRJNA380521,"Proteobacteria","Gammaproteobacteria",GCA_002163995.1 ,5.0647,52.0611,chromosome:NZ_CP020922.1/CP020922.1; plasmid unnamed1:NZ_CP020923.1/CP020923.1; plasmid unnamed2:NZ_CP020924.1/CP020924.1,-,3,5245,4865,2017/06/02,2017/06/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/995/GCF_002163995.1_ASM216399v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/995/GCA_002163995.1_ASM216399v1
"Escherichia coli","Ecol_AZ162",19668,SAMN05511185 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012165.1 ,5.35187,50.6865,chromosome:NZ_CP019015.1/CP019015.1; plasmid pECAZ162_2:NZ_CP019013.1/CP019013.1; plasmid pECAZ162_KPC:NZ_CP019014.1/CP019014.1,-,3,5599,5254,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/165/GCF_002012165.1_ASM201216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/165/GCA_002012165.1_ASM201216v1
"Bordetella pertussis","J625",19440,SAMN07327524 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002240515.1 ,4.11034,67.7,chromosome:NZ_CP022362.1/CP022362.1,-,1,3983,3597,2017/08/03,2017/08/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/515/GCF_002240515.1_ASM224051v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/240/515/GCA_002240515.1_ASM224051v1
"Bordetella pertussis","E945",19440,SAMN05583817 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002285955.1 ,4.12784,67.7,chromosome:NZ_CP016956.1/CP016956.1,-,1,3986,3599,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/955/GCF_002285955.1_ASM228595v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/955/GCA_002285955.1_ASM228595v1
"Escherichia coli","Ecol_422",19668,SAMN05511153 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012185.1 ,5.2158,50.5447,chromosome:NZ_CP018962.1/CP018962.1; plasmid pEC422_1:NZ_CP018961.1/CP018961.1; plasmid pEC422_2:NZ_CP018960.1/CP018960.1; plasmid pEC422_4:NZ_CP018958.1/CP018958.1; plasmid pEC422_KPC:NZ_CP018959.1/CP018959.1,-,5,5436,4978,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/185/GCF_002012185.1_ASM201218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/185/GCA_002012185.1_ASM201218v1
"Salmonella enterica subsp. enterica serovar Minnesota","CFSAN017963",19669,SAMN02800603 ,PRJNA186035,"Proteobacteria","Gammaproteobacteria",GCA_002196535.1 ,5.00483,52.2846,chromosome:NZ_CP017720.1/CP017720.1; plasmid pCFSAN017963_01:NZ_CP017721.1/CP017721.1; plasmid pCFSAN017963_02:NZ_CP017722.1/CP017722.1,-,3,5137,4805,2017/06/15,2017/06/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/196/535/GCF_002196535.1_ASM219653v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/196/535/GCA_002196535.1_ASM219653v1
"Salmonella enterica subsp. enterica","ST1120",19669,SAMN06622672 ,PRJNA387390,"Proteobacteria","Gammaproteobacteria",GCA_002201855.1 ,4.86186,52.1912,chromosome:NZ_CP021909.1/CP021909.1; plasmid pST1120:NZ_CP021910.1/CP021910.1,-,2,4966,4725,2017/06/20,2017/06/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/855/GCF_002201855.1_ASM220185v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/201/855/GCA_002201855.1_ASM220185v1
"Escherichia coli","Ecol_867",19668,SAMN05511148 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012205.1 ,5.0658,50.8406,chromosome:NZ_CP018983.1/CP018983.1; plasmid pEC867_1:NZ_CP018982.1/CP018982.1; plasmid pEC867_3:NZ_CP018980.1/CP018980.1; plasmid pEC867_KPC:NZ_CP018981.1/CP018981.1,-,4,5260,4904,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/205/GCF_002012205.1_ASM201220v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/205/GCA_002012205.1_ASM201220v1
"Bordetella pertussis","B226",19440,SAMN05583809 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002285975.1 ,4.12604,67.7,chromosome:NZ_CP016957.1/CP016957.1,-,1,3989,3601,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/975/GCF_002285975.1_ASM228597v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/975/GCA_002285975.1_ASM228597v1
"Bordetella pertussis","E537",19440,SAMN05583815 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002285995.1 ,4.11059,67.7,chromosome:NZ_CP016958.1/CP016958.1,-,1,3978,3589,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/285/995/GCF_002285995.1_ASM228599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/995/GCA_002285995.1_ASM228599v1
"Escherichia coli","Ecol_881",19668,SAMN05511150 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012225.1 ,5.59755,50.4424,chromosome:NZ_CP019029.1/CP019029.1; plasmid pEC881_1:NZ_CP019028.1/CP019028.1; plasmid pEC881_2:NZ_CP019027.1/CP019027.1; plasmid pEC881_4:NZ_CP019025.1/CP019025.1; plasmid pEC881_5:NZ_CP019024.1/CP019024.1; plasmid pEC881_6:NZ_CP019023.1/CP019023.1; plasmid pEC881_7:NZ_CP019022.1/CP019022.1; plasmid pEC881_8:NZ_CP019021.1/CP019021.1; plasmid pEC881_KPC:NZ_CP019026.1/CP019026.1,-,9,5837,5421,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/225/GCF_002012225.1_ASM201222v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/225/GCA_002012225.1_ASM201222v1
"Salmonella enterica subsp. enterica serovar Onderstepoort str. SA20060086","SA20060086",19669,SAMN04160808 ,PRJNA177585,"Proteobacteria","Gammaproteobacteria",GCA_002208255.1 ,5.00542,51.8669,chromosome:NZ_CP022034.1/CP022034.1; plasmid punamed1:NZ_CP022036.1/CP022036.1; plasmid punamed2:NZ_CP022035.1/CP022035.1,-,3,5162,4837,2017/06/26,2017/06/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/255/GCF_002208255.1_ASM220825v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/255/GCA_002208255.1_ASM220825v1
"Salmonella enterica subsp. enterica serovar Quebec str. S-1267","S-1267",19669,SAMN04160828 ,PRJNA177594,"Proteobacteria","Gammaproteobacteria",GCA_002208315.1 ,4.64531,52.208,chromosome punamed2:NZ_CP022017.1/CP022017.1; plasmid punamed2:NZ_CP022019.1/CP022019.1; plasmid punamed1:NZ_CP022018.1/CP022018.1,-,3,4684,4391,2017/06/26,2017/08/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/315/GCF_002208315.1_ASM220831v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/315/GCA_002208315.1_ASM220831v1
"Escherichia coli","Ecol_AZ153",19668,SAMN05511160 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012245.1 ,5.25275,50.9192,chromosome:NZ_CP019000.1/CP019000.1; plasmid pECAZ153_2:NZ_CP018998.1/CP018998.1; plasmid pECAZ153_3:NZ_CP018997.1/CP018997.1; plasmid pECAZ153_4:NZ_CP018996.1/CP018996.1; plasmid pECAZ153_KPC:NZ_CP018999.1/CP018999.1,-,5,5527,5153,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/245/GCF_002012245.1_ASM201224v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/245/GCA_002012245.1_ASM201224v1
"Bordetella pertussis","D422",19440,SAMN05583811 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286015.1 ,4.10744,67.7,chromosome:NZ_CP016959.1/CP016959.1,-,1,3970,3585,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/015/GCF_002286015.1_ASM228601v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/015/GCA_002286015.1_ASM228601v1
"Bordetella pertussis","D735",19440,SAMN05583813 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286035.1 ,4.1063,67.7,chromosome:NZ_CP016960.1/CP016960.1,-,1,3978,3590,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/035/GCF_002286035.1_ASM228603v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/035/GCA_002286035.1_ASM228603v1
"Escherichia coli","Ecol_AZ161",19668,SAMN05511166 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012265.1 ,5.17304,50.8489,chromosome:NZ_CP019012.1/CP019012.1; plasmid pECAZ161_1:NZ_CP019011.1/CP019011.1; plasmid pECAZ161_3:NZ_CP019009.1/CP019009.1; plasmid pECAZ161_KPC:NZ_CP019010.1/CP019010.1,-,4,5399,5047,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/265/GCF_002012265.1_ASM201226v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/265/GCA_002012265.1_ASM201226v1
"Yersinia pestis","195/P",19684,SAMN06161235 ,PRJNA357858,"Proteobacteria","Gammaproteobacteria",GCA_002005285.1 ,4.8312,47.6111,chromosome:CP019708.1; plasmid pCD1:CP019710.1; plasmid pMT1:CP019709.1; plasmid pPCP1:CP019711.1,-,4,-,-,2017/02/21,2017/02/21,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/285/GCA_002005285.1_ASM200528v1
"Salmonella enterica","FDAARGOS_313",19669,SAMN06173326 ,PRJNA231221,"Proteobacteria","Gammaproteobacteria",GCA_002209205.1 ,4.94405,52.0877,chromosome:NZ_CP022069.1/CP022069.1; plasmid unnamed1:NZ_CP022066.1/CP022066.1; plasmid unnamed2:NZ_CP022067.1/CP022067.1; plasmid unnamed3:NZ_CP022068.1/CP022068.1,-,4,5090,4700,2017/06/27,2017/06/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/205/GCF_002209205.1_ASM220920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/205/GCA_002209205.1_ASM220920v1
"Salmonella enterica subsp. enterica serovar Typhimurium","TW-Stm6",19669,SAMN06309456 ,PRJNA371529,"Proteobacteria","Gammaproteobacteria",GCA_002210025.1 ,5.27975,51.9162,chromosome:NZ_CP019649.1/CP019649.1; plasmid p275_TW-Stm6:NZ_CP019647.1/CP019647.1; plasmid p4_TW-Stm6:NZ_CP019648.1/CP019648.1,-,3,5469,5174,2017/06/28,2017/10/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/210/025/GCF_002210025.1_ASM221002v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/210/025/GCA_002210025.1_ASM221002v1
"Escherichia coli","Ecol_244",19668,SAMN05511157 ,PRJNA316786,"Proteobacteria","Gammaproteobacteria",GCA_002012305.1 ,5.38306,50.4656,chromosome:NZ_CP019020.1/CP019020.1; plasmid pEC244_1:NZ_CP019019.1/CP019019.1; plasmid pEC244_2:NZ_CP019018.1/CP019018.1; plasmid pEC244_4:NZ_CP019016.1/CP019016.1; plasmid pEC244_KPC:NZ_CP019017.1/CP019017.1,-,5,5593,5226,2017/03/03,2017/03/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/305/GCF_002012305.1_ASM201230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/305/GCA_002012305.1_ASM201230v1
"Bordetella pertussis","C934",19440,SAMN05583810 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286055.1 ,4.1043,67.7,chromosome:NZ_CP016961.1/CP016961.1,-,1,3971,3583,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/055/GCF_002286055.1_ASM228605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/055/GCA_002286055.1_ASM228605v1
"Bordetella pertussis","E898",19440,SAMN05583816 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286075.1 ,4.10324,67.7,chromosome:NZ_CP016962.1/CP016962.1,-,1,3971,3587,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/075/GCF_002286075.1_ASM228607v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/075/GCA_002286075.1_ASM228607v1
"Escherichia coli NU14","NU14",19668,SAMN06314223 ,PRJNA373796,"Proteobacteria","Gammaproteobacteria",GCA_002024865.1 ,5.07662,50.6,chromosome:NZ_CP019777.1/CP019777.1,-,1,5219,4908,2017/03/10,2017/03/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/865/GCF_002024865.1_ASM202486v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/024/865/GCA_002024865.1_ASM202486v1
"Salmonella enterica subsp. enterica serovar Ouakam str. SA20034636","SA20034636",19669,SAMN04160801 ,PRJNA177587,"Proteobacteria","Gammaproteobacteria",GCA_002211565.1 ,4.87491,52.2,chromosome:NZ_CP022116.1/CP022116.1,-,1,4947,4662,2017/06/30,2017/07/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/565/GCF_002211565.1_ASM221156v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/565/GCA_002211565.1_ASM221156v1
"Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643","S-1643",19669,SAMN04160825 ,PRJNA177326,"Proteobacteria","Gammaproteobacteria",GCA_002211585.1 ,5.26861,52.001,chromosome:NZ_CP022117.1/CP022117.1; plasmid unnamed1:NZ_CP022118.1/CP022118.1; plasmid unnamed2:NZ_CP022119.1/CP022119.1,-,3,5363,4921,2017/06/30,2017/07/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/585/GCF_002211585.1_ASM221158v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/585/GCA_002211585.1_ASM221158v1
"Escherichia coli","13E0725",19668,SAMN06554468 ,PRJNA378593,"Proteobacteria","Gammaproteobacteria",GCA_002055605.1 ,5.11248,50.6,chromosome:NZ_CP020092.1/CP020092.1,-,1,5401,4975,2017/03/21,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/605/GCF_002055605.1_ASM205560v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/055/605/GCA_002055605.1_ASM205560v1
"Bordetella pertussis","D799",19440,SAMN05583814 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286095.1 ,4.1032,67.7,chromosome:NZ_CP016963.1/CP016963.1,-,1,3970,3586,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/095/GCF_002286095.1_ASM228609v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/095/GCA_002286095.1_ASM228609v1
"Bordetella pertussis","D717",19440,SAMN05583812 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286115.1 ,4.10226,67.7,chromosome:NZ_CP016964.1/CP016964.1,-,1,3970,3586,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/115/GCF_002286115.1_ASM228611v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/115/GCA_002286115.1_ASM228611v1
"Escherichia coli","AR_0118",19668,SAMN04014959 ,PRJNA292902,"Proteobacteria","Gammaproteobacteria",GCA_002055635.1 ,5.36507,50.6278,chromosome:NZ_CP020048.1/CP020048.1; plasmid unitig_1:NZ_CP020049.1/CP020049.1; plasmid unitig_2:NZ_CP020050.1/CP020050.1; plasmid unitig_3:NZ_CP020051.1/CP020051.1,-,4,5654,5240,2017/03/21,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/635/GCF_002055635.1_ASM205563v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/055/635/GCA_002055635.1_ASM205563v1
"Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251","SA20044251",19669,SAMN04160806 ,PRJNA177620,"Proteobacteria","Gammaproteobacteria",GCA_002211825.1 ,5.06609,51.4584,chromosome:NZ_CP022135.1/CP022135.1; plasmid unnamed1:NZ_CP022136.1/CP022136.1; plasmid unnamed2:NZ_CP022137.1/CP022137.1,-,3,5005,4630,2017/06/30,2017/07/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/825/GCF_002211825.1_ASM221182v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/825/GCA_002211825.1_ASM221182v1
"Salmonella enterica subsp. enterica serovar Waycross","SA20041608",19669,SAMN04160804 ,PRJNA316728,"Proteobacteria","Gammaproteobacteria",GCA_002211845.1 ,4.81289,52,chromosome:NZ_CP022138.1/CP022138.1,-,1,4897,4629,2017/06/30,2017/07/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/845/GCF_002211845.1_ASM221184v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/845/GCA_002211845.1_ASM221184v1
"Escherichia coli","AR_0061",19668,SAMN04014902 ,PRJNA292904,"Proteobacteria","Gammaproteobacteria",GCA_002056065.1 ,4.73422,50.7589,chromosome:NZ_CP020058.1/CP020058.1; plasmid unitig_1:NZ_CP020059.1/CP020059.1; plasmid unitig_2:NZ_CP020060.1/CP020060.1,-,3,4890,4510,2017/03/21,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/056/065/GCF_002056065.1_ASM205606v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/056/065/GCA_002056065.1_ASM205606v1
"Bordetella pertussis","E541",19440,SAMN05583850 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286135.1 ,4.10534,67.7,chromosome:NZ_CP016966.1/CP016966.1,-,1,3971,3584,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/135/GCF_002286135.1_ASM228613v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/135/GCA_002286135.1_ASM228613v1
"Bordetella pertussis","E025",19440,SAMN05583849 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286155.1 ,4.10113,67.7,chromosome:NZ_CP016967.1/CP016967.1,-,1,3970,3587,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/155/GCF_002286155.1_ASM228615v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/155/GCA_002286155.1_ASM228615v1
"Escherichia coli","AR_0069",19668,SAMN04014910 ,PRJNA292904,"Proteobacteria","Gammaproteobacteria",GCA_002056145.1 ,4.82675,50.8492,chromosome:NZ_CP020055.1/CP020055.1; plasmid unitig_2:NZ_CP020056.1/CP020056.1; plasmid unitig_3:NZ_CP020057.1/CP020057.1,-,3,4998,4644,2017/03/21,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/056/145/GCF_002056145.1_ASM205614v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/056/145/GCA_002056145.1_ASM205614v1
"Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K","1315K",19669,SAMN04160813 ,PRJNA177609,"Proteobacteria","Gammaproteobacteria",GCA_002211865.1 ,5.05144,51.5675,chromosome:NZ_CP022139.1/CP022139.1; plasmid unnamed1:NZ_CP022140.1/CP022140.1; plasmid unnamed2:NZ_CP022141.1/CP022141.1,-,3,5043,4669,2017/06/30,2017/07/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/865/GCF_002211865.1_ASM221186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/865/GCA_002211865.1_ASM221186v1
"Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080","MZ0080",19669,SAMN04160830 ,PRJNA177617,"Proteobacteria","Gammaproteobacteria",GCA_002211965.1 ,5.07695,51.5,chromosome:NZ_CP022142.1/CP022142.1,-,1,5035,4633,2017/06/30,2017/07/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/965/GCF_002211965.1_ASM221196v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/211/965/GCA_002211965.1_ASM221196v1
"Escherichia coli","AR_0104",19668,SAMN04014945 ,PRJNA292904,"Proteobacteria","Gammaproteobacteria",GCA_002056635.1 ,5.26203,50.756,chromosome:NZ_CP020116.1/CP020116.1; plasmid unitig_5:NZ_CP020117.1/CP020117.1; plasmid unitig_6:NZ_CP020118.1/CP020118.1; plasmid unitig_7:NZ_CP020119.1/CP020119.1,-,4,5502,5127,2017/03/21,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/056/635/GCF_002056635.1_ASM205663v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/056/635/GCA_002056635.1_ASM205663v1
"Bordetella pertussis","D925",19440,SAMN05583848 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286175.1 ,4.10639,67.7,chromosome:NZ_CP016968.1/CP016968.1,-,1,3975,3591,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/175/GCF_002286175.1_ASM228617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/175/GCA_002286175.1_ASM228617v1
"Bordetella pertussis","J160",19440,SAMN05716053 ,PRJNA279196,"Proteobacteria","Betaproteobacteria",GCA_002286295.1 ,4.11263,67.7,chromosome:NZ_CP017119.1/CP017119.1,-,1,3985,3551,2017/09/05,2017/09/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/295/GCF_002286295.1_ASM228629v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/295/GCA_002286295.1_ASM228629v1
"Escherichia coli","13E0780",19668,SAMN06563569 ,PRJNA378906,"Proteobacteria","Gammaproteobacteria",GCA_002057245.1 ,5.37129,50.6,chromosome:NZ_CP020106.1/CP020106.1,-,1,5786,5346,2017/03/21,2017/03/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/057/245/GCF_002057245.1_ASM205724v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/057/245/GCA_002057245.1_ASM205724v1
"Salmonella enterica subsp. enterica serovar Enteritidis","FORC_052",19669,SAMN05363482 ,PRJNA328055,"Proteobacteria","Gammaproteobacteria",GCA_002220345.1 ,4.68625,52.2,chromosome:NZ_CP016754.1/CP016754.1,-,1,4770,4486,2017/07/17,2017/07/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/345/GCF_002220345.1_ASM222034v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/345/GCA_002220345.1_ASM222034v1
"Salmonella enterica subsp. enterica serovar Indiana","D90",19669,SAMN07344413 ,PRJNA393900,"Proteobacteria","Gammaproteobacteria",GCA_002224405.1 ,5.11939,51.6458,chromosome:NZ_CP022450.1/CP022450.1; plasmid pD90-1:NZ_CP022451.1/CP022451.1; plasmid pD90-2:NZ_CP022452.1/CP022452.1; plasmid pD90-3:NZ_CP022453.1/CP022453.1; plasmid pD90-4:NZ_CP022454.1/CP022454.1,-,5,5282,4917,2017/07/24,2017/07/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/224/405/GCF_002224405.1_ASM222440v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/224/405/GCA_002224405.1_ASM222440v1
